"","st_merge","serotype","probability_pos"
"1","1","1",1
"4","11A/D/B/C/F","11A",1
"7","14","14",1
"10","16F","16F",1
"15","19A/F","19F",1
"16","19A/F","19A",1
"18","2","2",1
"23","23B/F","23B",1
"24","23B/F","23F",1
"29","3","3",1
"31","32A/F","32A/F",1
"32","33B/D/C","33B/D/C",1
"40","38","38",1
"43","6A/C/D","6A/C",1
"44","6A/C/D","6D",1
"46","7B/C/40","7C",1
"47","7B/C/40","7B",1
"49","8","8",1
"50","9A/V","9V",1
"8","15A/F","15A",0.587152130010246
"9","15B/C","15B/C",0.404384133640356
"30","31","31",0.385252468502509
"33","33F/A","33F",0.311024439550956
"20","21","21",0.240907699299435
"21","22F/A","22F",0.177449399944322
"19","20","20",0.104954748921739
"39","37","37",0.0969164342348092
"36","35A/C/F/47F","35F",0.0644273917973129
"12","17F","17F",0.0589653799827241
"13","18A/B/C/F","18C",0.0504865885242345
"14","18A/B/C/F","18A",0.0441190554392932
"48","7F/A","7F",0.0296225648376641
"41","4","4",0.0245870564369406
"3","10A/B/F/C","10A",0.0236442218312689
"5","12A/46/B/F/44","12F",0.0231180124292617
"51","9N/L","9N",0.0215229149410768
"26","24A/B/F","24A/B/F",0.0206343922025253
"52","9N/L","9L",0.0170733772637402
"42","5","5",0.0114272750888575
"2","10A/B/F/C","10F",0.00680775099814924
"35","35A/C/F/47F","35A",0.0036148503050155
"27","25A/F","25A/F",0.00347325974094241
"25","24A/B/F","24B",0.00230245583997242
"53","auto","auto",0.000696587491621036
"57","ply","ply",0.000497661541102052
"17","19B/C","19B/C",0.00015151466243656
"54","CpsA","CpsA",0.00015151466243656
"6","13","13",NA
"11","17A","17A",NA
"22","23A","23A",NA
"28","28A","28A",NA
"34","34","34",NA
"37","35B","35B",NA
"38","35D","35D",NA
"45","6B","6B",NA
"55","MISS","MISS",NA
"56","NT","NT",NA
