"","st_merge","probability_pos"
"11","16f",1
"21","2",1
"27","23F",1
"34","3",1
"46","6abcd",1
"47","6abcd",1
"48","6abcd",1
"59",NA,1
"60",NA,1
"61",NA,1
"62",NA,1
"20","19F",0.675387867201924
"2","10A",0.618145798690712
"4","11 ade",0.50222977499631
"37","34",0.331341162469755
"23","21",0.325303278908676
"7","14",0.190377200513241
"28","23FAB",0.12369383941504
"25","23A",0.0938017315607197
"29","23FAB",0.0446383648959655
"51","7f/a",0.0443218006918864
"22","20",0.0426380204679828
"36","33 a/f",0.0283565576700338
"53","9 v/a",0.0131771917723065
"8","15 B/C",0.0104791724798515
"26","23b",0.0104791724798515
"5","12/44/46",0.00792617426566733
"13","17",0.00526718410528698
"18","19a",0.00151059300971796
"55","9ln",0.000755867408871035
"33","28f/a",0.00023528126241729
"1","1",NA
"3","10F",NA
"6","13",NA
"9","15A",NA
"10","15B/C",NA
"12","16F",NA
"14","17A",NA
"15","17F",NA
"16","18A",NA
"17","18C",NA
"19","19A",NA
"24","22F",NA
"30","24A/B/F",NA
"31","24B",NA
"32","28A",NA
"35","31",NA
"38","35A",NA
"39","35B",NA
"40","35D",NA
"41","35F",NA
"42","37",NA
"43","38",NA
"44","4",NA
"45","5",NA
"49","7B",NA
"50","7C",NA
"52","8",NA
"54","9L",NA
"56","9N",NA
"57","MISS",NA
"58","NT",NA
